date,Unnamed: 0,n_sick,calls,n_duty,n_sby,sby_need,dafted,weekday,year,calendarweek,month,quarter,season,Feiertage,schulferien,Sick-ratio,Residuals_calls,rolling_mean_7_calls,rolling_mean_7_Sick-ratio,lag_49_calls,lag_365_calls,lag_49_Sickratio,lag_365_Sickratio,average7days45lag_calls,average7days45lag_Sickratio,Fahrer_benötigt
2016-04-01,0,73,8154,1700,90,4,0,4,2016,13,4,2,1,0,1,0.0429411764705882,-660.8462318340473,7392.0,0.03974789915966383,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1630.8
2016-04-02,1,64,8526,1700,90,70,0,5,2016,13,4,2,1,0,1,0.0376470588235294,-660.8462318340473,7392.0,0.03974789915966383,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1705.2
2016-04-03,2,68,8088,1700,90,0,0,6,2016,13,4,2,1,0,0,0.04,-660.8462318340473,7392.0,0.03974789915966383,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1617.6
2016-04-04,3,71,7044,1700,90,0,0,0,2016,14,4,2,1,0,0,0.0417647058823529,-660.8462318340473,7392.0,0.03974789915966383,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1408.8
2016-04-05,4,63,7236,1700,90,0,0,1,2016,14,4,2,1,0,0,0.0370588235294117,-378.54309594554496,7392.0,0.03974789915966383,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1447.2
2016-04-06,5,70,6492,1700,90,0,0,2,2016,14,4,2,1,0,0,0.0411764705882352,-621.328810231259,7392.0,0.03974789915966383,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1298.4
2016-04-07,6,64,6204,1700,90,0,0,3,2016,14,4,2,1,0,0,0.0376470588235294,-565.9176604054745,7392.0,0.03974789915966383,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1240.8
2016-04-08,7,62,7614,1700,90,0,0,4,2016,14,4,2,1,0,0,0.0364705882352941,979.4638726955704,7314.857142857143,0.038823529411764666,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1522.8
2016-04-09,8,51,5706,1700,90,0,0,5,2016,14,4,2,1,0,0,0.03,-582.4219249573229,6912.0,0.037731092436974756,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1141.2
2016-04-10,9,54,6606,1700,90,0,0,6,2016,14,4,2,1,0,0,0.0317647058823529,818.1652792495124,6700.285714285715,0.03655462184873946,8154.0,8154.0,0.0429411764705882,0.0429411764705882,7392.0,0.03974789915966383,1321.2
