date,Unnamed: 0,n_sick,calls,n_duty,n_sby,sby_need,dafted,weekday,calendarweek,month,quarter,season,schulferien,Sick-ratio,Residuals_calls,Residuals_Sick-ratio,Ausreißer_Sick-ratio,Ausreißer_Calls
2016-04-01,0,73,8154,1700,90,8154,8154,Friday,13,April,2,Frühling,True,0.0429411764705882,,,False,False
2016-04-02,1,64,8526,1700,90,8526,8526,Saturday,13,April,2,Frühling,True,0.0376470588235294,,,False,False
2016-04-03,2,68,8088,1700,90,8088,8088,Sunday,13,April,2,Frühling,False,0.04,,,False,False
2016-04-04,3,71,7044,1700,90,7044,7044,Monday,14,April,2,Frühling,False,0.0417647058823529,-660.8462318340473,,False,False
2016-04-05,4,63,7236,1700,90,7236,7236,Tuesday,14,April,2,Frühling,False,0.0370588235294117,-378.54309594554496,,False,False
2016-04-06,5,70,6492,1700,90,6492,6492,Wednesday,14,April,2,Frühling,False,0.0411764705882352,-621.328810231259,,False,False
2016-04-07,6,64,6204,1700,90,6204,6204,Thursday,14,April,2,Frühling,False,0.0376470588235294,-565.9176604054745,,False,False
2016-04-08,7,62,7614,1700,90,7614,7614,Friday,14,April,2,Frühling,False,0.0364705882352941,979.4638726955704,,False,False
2016-04-09,8,51,5706,1700,90,5706,5706,Saturday,14,April,2,Frühling,False,0.03,-582.4219249573229,,False,False
2016-04-10,9,54,6606,1700,90,6606,6606,Sunday,14,April,2,Frühling,False,0.0317647058823529,818.1652792495124,,False,False
2016-04-11,10,50,6822,1700,90,6822,6822,Monday,15,April,2,Frühling,False,0.0294117647058823,123.43948245166736,,False,False
2016-04-12,11,49,6060,1700,90,6060,6060,Tuesday,15,April,2,Frühling,False,0.0288235294117647,-624.5430959455459,,False,False
2016-04-13,12,53,5964,1700,90,5964,5964,Wednesday,15,April,2,Frühling,False,0.0311764705882352,-773.9002388026893,,False,False
2016-04-14,13,52,5928,1700,90,5928,5928,Thursday,15,April,2,Frühling,False,0.0305882352941176,-769.0605175483332,,False,False
2016-04-15,14,63,7608,1700,90,7608,7608,Friday,15,April,2,Frühling,False,0.0370588235294117,1022.3210155527116,,False,False
2016-04-16,15,55,6768,1700,90,6768,6768,Saturday,15,April,2,Frühling,False,0.0323529411764705,-13.279067814466885,,False,False
2016-04-17,16,51,7242,1700,90,7242,7242,Sunday,15,April,2,Frühling,False,0.03,842.1652792495124,,False,False
2016-04-18,17,59,6768,1700,90,6768,6768,Monday,16,April,2,Frühling,False,0.0347058823529411,-851.9890889769042,,False,False
2016-04-19,18,57,8676,1700,90,8676,8676,Tuesday,16,April,2,Frühling,False,0.0335294117647058,1340.0283326258834,,False,False
2016-04-20,19,53,6270,1700,90,6270,6270,Wednesday,16,April,2,Frühling,False,0.0311764705882352,-738.7573816598306,,False,False
2016-04-21,20,63,7818,1700,90,7818,7818,Thursday,16,April,2,Frühling,False,0.0370588235294117,1277.7966253088098,,False,False
2016-04-22,21,68,5712,1700,90,5712,5712,Friday,16,April,2,Frühling,False,0.04,-597.6789844472875,,False,False
